"","Original","Outcome","ES","TH","RRH","Prev","PrevEligible"
"1812","Prev",0,0.385896084495492,0.312343801660074,0.334005345164367,0.267119549813082,1
"1813","Prev",0,0.240585923785064,0.1582634613916,0.184926290185172,0.12482983624583,1
"1814","TH",1,0.60280674923694,0.520353363301393,0.556000167152101,NA,0
"1815","ES",1,0.372292048371908,0.293063087394594,0.319508767765541,0.218475282324553,1
"1816","Prev",1,0.329360621789713,0.335645124619469,0.309242136662285,0.216274678576168,1
"1817","Prev",0,0.19600803958518,0.141115375973358,0.158457528057278,0.107643374208042,1
"1818","Prev",0,0.204829338543531,0.196104800554516,0.197501208210699,0.143796578034491,1
"1819","Prev",0,0.400338083046112,0.425812510410524,0.412523049518974,0.337758235787387,1
"1820","RRH",0,0.262411085548923,0.195699722851292,0.300376457624209,NA,0
"1821","TH",1,0.749548318868306,0.670334109110743,0.736412739795699,NA,0
"1822","Prev",0,0.0965955682634785,0.0748660362824799,0.0939419200298788,0.0459601233124566,1
"1823","Prev",0,0.0888440570441849,0.10766123487709,0.0880054237305776,0.0488090374823823,1
"1824","Prev",0,0.200109453438142,0.189282397687914,0.172123643557674,0.131077194458728,1
"1825","Prev",0,0.173543965096402,0.164683150479607,0.144978004071402,0.098410411512524,1
"1826","TH",0,0.543678028517162,0.457715290849748,0.471180690504914,NA,0
"1827","Prev",0,0.232660907314238,0.17384076509994,0.181530760282536,0.124692993992773,1
"1828","Prev",0,0.38576465876565,0.292436453890401,0.31893445513378,0.316576166265815,1
"1829","TH",0,0.264788527301996,0.214185103024891,0.262046641646458,NA,0
"1830","Prev",0,0.205326749967118,0.205013624959732,0.182890234956209,0.126193284351141,1
"1831","ES",1,0.869392408364956,0.850773045231051,0.867750275786861,NA,0
"1832","Prev",0,0.241237276974899,0.154880914080924,0.26858228612241,0.182649378098197,1
"1833","Prev",0,0.200037331940008,0.179212246532595,0.182198400752866,0.12523819967867,1
"1834","ES",1,0.497523856548723,0.49352376319788,0.440963711337925,NA,0
"1835","ES",1,0.492105916827406,0.418332113908897,0.518451123441937,0.367822311286228,1
"1836","Prev",0,0.20262303992005,0.221396075220108,0.20000203764282,0.125602043235542,1
"1837","ES",1,0.533058662103922,0.450424483122226,0.472318489997702,0.39668313772713,1
